,Real,Predicted,Difference
0,0.0,65.42610911089173,-65.42610911089173
1,76.5,86.17648844703494,-9.676488447034941
2,68.0,73.32530837556295,-5.325308375562955
3,76.5,83.44572221043393,-6.945722210433928
4,76.5,81.08756978841315,-4.587569788413148
5,76.5,84.4104354127646,-7.910435412764599
6,58.67,55.24298176000145,3.427018239998553
7,68.0,70.53809216281769,-2.5380921628176907
8,76.5,74.07127509931094,2.428724900689062
9,76.5,74.07127509931094,2.428724900689062
10,86.0,72.22257318765358,13.77742681234642
11,43.0,70.97601275128292,-27.976012751282923
12,86.0,72.22257318765358,13.77742681234642
13,63.0,55.816584379876105,7.1834156201238955
14,86.0,74.62537910643188,11.374620893568121
15,63.0,54.54851840213212,8.451481597867883
16,63.0,59.74771592183845,3.2522840781615514
17,86.0,72.22257318765358,13.77742681234642
18,86.0,72.22257318765358,13.77742681234642
19,63.0,59.74771592183845,3.2522840781615514
20,86.0,74.62537910643188,11.374620893568121
21,63.75,74.46824603361237,-10.718246033612374
22,86.0,72.22257318765358,13.77742681234642
23,86.0,72.22257318765358,13.77742681234642
24,76.5,81.59717054503406,-5.097170545034061
25,60.27,97.01855933109644,-36.74855933109644
26,68.0,65.54074397868216,2.4592560213178416
27,68.0,65.64348841745188,2.356511582548123
28,76.5,78.1259342315016,-1.6259342315016028
29,60.0,48.859755421698495,11.140244578301505
30,55.8,93.13977652910894,-37.339776529108946
31,52.36,79.0399600540726,-26.679960054072595
32,49.74,83.21335721261634,-33.47335721261634
33,76.5,80.04012071286942,-3.540120712869424
34,68.0,69.67437869140427,-1.6743786914042715
35,68.0,72.11623930207129,-4.116239302071293
36,93.6,96.2420231454156,-2.6420231454156067
37,76.5,88.25225726939999,-11.75225726939999
38,76.5,87.67724285820849,-11.177242858208487
39,76.5,71.43462953977951,5.0653704602204925
40,76.5,85.23868980197415,-8.738689801974147
41,68.0,88.80369730716048,-20.803697307160476
42,68.0,73.57798369090989,-5.577983690909889
43,81.0,82.30324286671829,-1.3032428667182927
44,76.08,87.44294415817782,-11.362944158177825
